Nr./ID;Dokument;Quelle;Anforderung;Keywords;Gefährdung;Beschreibung
54;;G 3.27;Die Relevanz von korrekten Zeiteinstellung und einer möglichen Synchronisation von Systemzeiten bei verschiedenen Servern im gleichen Netz sollte beachtet werden;Server, Zeit, Synchronisation;Wenn die Systemzeiten auf verschiedenen Servern im gleichen Netz nicht synchronisiert sind, kann es dazu kommen, dass Protokolle unbrauchbar, Zeitstempel unkorrekt oder Reihenfolgen für Aufgaben nicht eingehalten werden;
55;;;In einem Netz, welches das Einzelreferenz-Verfahren zur Zeitsynchronisation nutzt, sollten bei einem Ausfall der Zeitquelle die Datei- und Objektrechte kontrolliert und gegebenenfalls entzogen werden;Server, Zeit, Rechte, RBAC;Kommt es in einem Netz, welches das Einzelreferenz-Verfahren zur Zeitsynchronisation nutzt, zum Ausfall der Zeitquelle, so ist keine Ersatzzeit mehr verfügbar. Dadurch können Datei- und Objektrechte unkontrolliert verändert werden. ;
56;;G 3.28;Bei einem Austauch einer Netzwerkkarte (oder generell Hardware) sollte geprüft werden, ob bei routenden Netzwerkgeräten MAC-Adressen aktualisiert werden müssen;Router, MAC Adresse, Hardware, Netzwerk;Wenn die zugehörigen MAC-Adresse nicht überprüft werden, kann es zu einem Verlust der Verfügbarkeit bestimmter oder aller Netzwerke auf diesem Endgerät kommen;
57;;G 3.29;Netzwerke sollten geeignet logisch und/oder physikalisch Segmentiert werden;Netzwerk, Segmentierung, Router, Ausfall, Last;Durch eine ungeeignete Segmentierung des Netzwerks kann es zu einer hohen Netzlast, zum Verlust der Vertraulichkeit und Integrität sensibler Daten oder gar zum Ausfall des Netzwerks führen;
58;;G 3.30;Arbeitsrechner im häuslichen Bereich sollten ausreichend vor unbefugter Nutzung geschützt werden;Rechner, zu Hause, Privat, Login;Wenn Dienstrechner nicht vor unbefugten Zugriff geschützt sind und diese mit nach Hause genommen oder dort fest installiert sind, kann es zu unbefugten Zugriff durch Gäste, Familienmitglieder oder Einbrecher kommen. Das versehentliche oder absichtliche Löschen, Kompromitieren, Kopieren und Weitergeben von sensiblen Daten oder Diensten kann eintreten.;
59;;;Arbeitsrechner sollten auch im häuslichen Bereich ausreichend vor Schadsoftware geschützt werden;Schadsortware, zu Hause, Privat, Rechner;Wenn Dienstrechner mit nach Hause genommen oder dort fest installiert sind und nicht ausreichend vor Schadsoftware geschützt sind, kann es passieren das diese in das Firmennetz gelangen oder auf sensible Daten oder Dienste zurückgreifen ;
60;;G 3.31;Es sollten ausreichende Vorgaben zur übersichtlichen und einheitlichen Speicherung der Daten gegeben werden;Daten, Vorgaben, Vereinheitlichung;Wenn sich die Speicherung von Daten durch die Mitarbeiter uneinheitlich oder unübersichtlich gestaltet, kann es zu Platzverschwendung, unabsichtlicher Löschung oder Überschreibung, unbefugten Zugriffen oder inkosistenter Versionierung kommen;
61;;G 3.32;Beim Einsatz von kryptographischen Produkten sind länderspezifische Gesetze zu beachten;Kryptographie, Gesetz, International;Da in manchen Ländern der Einsatz von Kryptographie gesetzlich beschränkt ist, kann es bei der verschlüsselten Kommunikation ins Ausland zu Verletzung von geltendem Recht kommen oder die Verbindung kommt nicht zu Stande bzw. der Empfänger ist nicht dazu im Stande die Kommunikation zu entschlüsseln;
62;;;Beim Einsatz von kryptographischen Produkten sollte beachtet werden, ob diese durch länderspezifische Gesetze auf Grund von abgeschwächte Exportversionen nicht ausreichend sicher sind;Kryptographie, Gesetz, International, Exportversion;Bei Exportversionen von Kryptoprodukten kann es zu einer erheblichen Abschwächung der zur Verfügung gestellten Sicherheit kommen, da dies die länderspezifischen Exportgesetze vorschreiben;
63;;;Die Vorgaben der länderspezifischen Datenschutzgesetze bzgl. adäquater kryptographischer Verfahren bei der Verarbeitung von personenbezogenen Daten müssen eingehalten werden;Datenschutz, Gesetze, International;Wenn keine adäquaten Kryptoverfahren zum Schutz personenbezogener Daten eingesetzt werden, kann dies zum Verstoß gegen nationales Recht, zum Verlust sensibler Daten und zu erheblichen Finanz- und Imageschäden führen;
64;;G 3.33;Bei der Verwendung von Kryptomodulen sollte darauf geachtet werden, dass nicht versehentlich der Klartext-Modus aktiviert wird;Kryptographie, Klartext-Modus;Wenn der Klartext-Modus aktiviert ist, wird trotz der Verwendung eines Kryptomoduls die zu verschlüsselnden Daten im Klartext übertragen;
65;;;Bei der Eingabe von kryptographischen Schlüssel sollte eine Überprüfung der Korrektheit stattfinden;Kryptographie, Schlüssel;Wenn ein falscher Schlüssel zur Verschlüsselung benutzt wurde, ist es dem Empfänger nicht mehr möglich die verschlüsselten Daten zu entschlüsseln;
66;;;Bei der Verschlüsselung von Daten sollte auf eine korrekte Durchführung und Beendigung dieser geachtet werden;Kryptographie, Durchführung, Verschlüsselung;Wenn der Verschlüsselungsvorgang vorzeitig beendet wird, zum Beispiel durch einen Stromausfall oder einen Absturz des Rechners, kann es zu nicht entschlüsselbaren Daten kommen oder der Inhalt der zu verschlüssenden Nachricht ist teilweise noch lesbar;
67;;;Die zu setzenden Parameter eines Verschlüsselungsverfahren sollten genau auf ihre Richtigkeit hin überprüft werden;Kryptographie, Verschlüsselung, Parameter;Falsche Parameter beim Einsatz eines Verschlüsselungsverfahren kann zu einer nicht sicheren Verschlüsselung führen;
68;;;Wenn der Benutzer an der Erstellung des Verschlüsselungsschlüssel beteiligt wird, sollte dieser einen geeignet sicheren und komplexen Schlüssel wählen;Kryptographie, Verschlüsselung, Schlüssel, Benutzereingabe;Wenn der Benutzer an der Schlüsselerstellung beteiligt ist und dort eine leicht zu erratende Zeichenkette eingibt, kann es zu einer unsicheren Verschlüsselung kommen;
69;;G 3.34;Managementsystem sollten konsistent zu allen beteiligten Komponenten konfiguriert werden;Managementsystem, Konfiguration;Wenn Managementsysteme nicht konsistent zu ihren Komponenten konfiguriert sind, können diese möglicherweise nicht mehr reibungslos zusammenarbeiten. Das kann zu Ausfällen, Sicherheitslücken oder fehlenden aber eigentlich zulässigen Zugriffsmöglichkeiten führen;
70;;G 3.35;Server, die relevante Daten verwalten, sollten nicht im laufenden Betrieb abgeschaltet werden können;Server, Inkonsistenz, Backup, Managementsystem, Archiv;Wenn ein Server, der relevante Daten verwaltet, im laufenden Betrieb abgeschaltet wird, kann es zu Inkonsistenzen in den Daten kommen. Möglicherweise müssen Backups aufgespielt werden die veraltete Zugriffsrechte wieder in Stand setzen oder es wurden unwiderruflich sensible Daten zerstört;
71;;G 3.36;Bei dem Einsatz von Managementsystemen sollten die Administratoren dazu in der Lage sein, automatische Fehlermeldungen richtig zu interpretieren und Fehlalarme von echten Fehlern unterscheiden können.;Managementsystem, Fehlalarm, Administrator, Analyse, automatische Meldungen;Wenn auf ein Fehlalarm eine Behandlung folgt, kann dies zur Verschlimmerung der Situation führen. Wenn ein echter Alarm als Fehlalarm interpretiert wird, kann der aufgetretende Fehler unbehelligt einen Schaden verursachen;
72;;G 3.38;Programme die für den Einsatzzweck des Rechners / Systems nicht notwendig sind sollten nicht gestartet werden;Programm, Rechner, Sicherheitslücke;Nicht benötigte Programme können vermeidbare zusätzliche Sicherheitslücken aufweisen;
73;;;Das Laden und Ausführen von ActiveX-Controls sollte vermieden werden;ActiveX, Internet, Schadsoftware;ActiveX-Controls werden mit den gleichen Rechten wie die des Nutzers ausgeführt. Bei sorglose Benutzung kann Schadsoftware auf den Rechner gelangen oder unbefugter Dateizugriff stattfinden;
74;;;Es sollte restriktive Regeln für Internet Cookies geben;Internet, Cookie, Regel;Wenn die Nutzung von Cookies ungeschränkt bleibt ist es für Internetdienstanbietern wesentlich leichter das Nutzerverhalten zu analysieren;
75;;;DNS Server sollten vermieden werden oder so sicher konfiguriert sein, dass sie unter keinen Umständen von Angreifern übernommen werden können;DNS, Server, Hijack, Übernahme, IP-Adresse;Wenn ein falsch konfigurierter DNS Server von Angreifern übernommen wird, können diese gefälschte IP-Adresse verschicken und Mitarbeiter auf gefälschte sensible Seiten locken;
76;;;Emails und Webinhalte sollten auf ausführbare Codes hin untersucht und gegebenfalls gemieden werden;Executable Content, Content-Security-Problem, Email, Internet, Makros;Emails, Dateien und Webseiten können ausführbaren Code beinhalten der ohne Rückfrage beim Benutzer gestartet wird und dem System Schaden zufügen und es ausspionieren kann;
77;;G 3.40;Wenn die Benutzerverwaltung eines VPN und dem Betriebssystem getrennt sind, sollte auf einen konsistenten Datenbestand geachtet werden;VPN, Betriebssystem, Login, Benutzerdaten;Wenn die Zugangsdaten des VPN und des Betriebssystem nicht konsistent gehalten werden, kann es zu unbefugten Zugang mittels alter Logindaten kommen;
78;;;Zugangsdaten für ein VPN sollten nicht lokal gespeichert werden;VPN, Login;Wenn die Logindaten für ein VPN lokal gespeichert werden, können diese ausgelesen und für einen unbefugten Zugang genutzt werden;
79;;G 3.41;Bei einer bestehenden VPN Verbindung ins Firmennetz sollten nur notwendige Dienste benutzt werden;VPN, Dienste, Verbindung,  Firmennetz;Wenn über eine bestehende VPN Verbindung ins Firmennetz zusätzlich Zugriff auf das Internet oder die Emailkonten getätigt werden, kann Schadsoftware ins Firmennetz gelangen;
80;;;Vor der Einwahl in sensible Netze wie dem Firmennetz oder Kundennetze sollten vorher Verbindungen zu anderen Netzen geschlossen oder ausreichend sicher konfiguriert sein;VPN, Kundennetz, Firmennetz;Wenn eine Verbindungen zu einem Kundennetz und dem Firmennetz aufgebaut wird und das des Kunden unsicher konfiguriert ist, kann es zu unbefugten Zugriff auf das Firmennetz kommen;
81;;G 3.42;Sowohl Server- als auch Clientsoftware eines firmen VPNs sollten ausreichend sicher konfiguriert sein;VPN, Konfiguration;Wenn Server- und Clientsoftware die Verschlüsselung der Kommunikation frei aushandeln dürfen, kann es zur einer unverschlüsselten Verbindung kommen;
82;;;Die VPN Konfiguration sollte nicht durch die Nutzer der VPN Clients geändert werden können;VPN, Client, Benutzer, Konfiguration;Wenn die Benutzer der VPN Clients die Konfiguration des VPNs ändern können, neigen diese dazu sie bei Problem den aktuellen Gegebenheiten anzupassen und dabei unsicherer zu machen;
83;;G 3.43;Logindaten sollten niemals weitergegeben werden;Login, Passwort, Weitergabe;Wenn aus Bequemlichkeit Passwörter weitergegeben werden kann es zu unbefugten Zugriff kommen;
84;;;Wenn Passwörter als Gedächnisstütze aufgeschrieben werden, sollte diese so aufbewahrt werden, dass sie vor unbefugter Einsicht geschützt sind;Login, Passwort, Aufschreiben, Aufbewahrung;Niedergeschriebene Passwörter die nicht sicher aufbewahrt werden können leicht entwendet und für unbefugten Zugriff genutzt werden;
85;;G 3.44;Wenn Endgeräte mit sensiblen Daten in die Reparatur gegeben werden sollten vorher sensible Daten gelöscht oder verschlüsselt werden oder ein vertrauenswürdiger Reparaturdienst gewählt werden;Endgerät, Schaden, Reparatur;Wenn Endgeräte mit sensiblen Daten bei Drittanbietern repariert werden, kann dieser möglicherweise auf sensible Daten zugreifen und diese kopieren oder verändern;
86;;G 3.45;Bei persönlichen Gesprächen sollte vor der Bekanntgabe von sensiblen Informationen immer die Identität des Gegenüber hinterfragt und überprüft werden;Gespräch, Identität;Wenn die Identität des Gesprächspartners nicht überprüft wird, kann dieser sich für jemand anderen ausgeben und so unbefugt an vertrauliche Informationen gelangen;
87;;;Bei persönlichen Gesprächen sollte nicht stillschweigend erwartet werden, dass die Gesprächsinhalte vertraulich behandelt werden;Gespräch, Vertraulichkeit;Wenn bei persönlichen Gesprächen die Vertraulichkeit stillschweigend erwartet wird, kann es dazu kommen das diese nicht gegeben ist und so sensible Informationen an Unbefugte gelangen;
88;;G 3.47;Bei der Übertragung von Logindaten oder sensiblen Daten über unsichere Netzwerke sollte eine Verschlüsselung benutzt werden;Login, Passwort, Verschlüsselung, Kryptographie;Unverschlüsselt versendete Logindaten können in unsicheren Netzen wie dem Internet abgehört und mitgelesen werden;
89;;;Zertifikate müssen geeignet geschützt abgespeichert werden;Zertifikat, Login;Ungesichert abgespeicherte Zertifikate können entwendet und unbefugt eingesetzt werden;
90;;G 3.48;Bei der Aktualisierung bereits verwendeter Software sollte nach dem Vorgang überprüft werden, ob die Konfiguration aktualisiert werden muss;Software, Aktualisierung, Konfiguration;Durch die Aktualisierung von Software kann sich deren Verhalten ändern. Wenn die Konfiguration nicht an das neue Verhalten angepasst wird, können Sicherheitslücken entstehen;
91;;;Der Zugriff auf Wechselmedien sollte bei Geräten die sensible Daten halten geeignet eingeschränkt werden;Datenträger, Wechselmedium, Rechte;Wenn der Zugriff auf Wechselmedien an Geräten die sensible Daten halten nicht geeignet eingeschränkt wird, können die kopiert werden. Außerdem kann so Schadsoftware auf dem Gerät installiert werden;
92;;G 3.49;Werden Vertrauensstellungen zwischen Domänen eingerichtet sollten die Beziehungen in Bezug auf erweiterte Zugriffsrechte geprüft werden;Domäne, Zugriff;Wenn diese Beziehungen nicht geprüft werden, kann es zu unbefugten Zugriffen seites Teilnehmer einer anderen Domäne kommen;
93;;G 3.54;Datenträger, die zur Archivierung genutzt werden, sollten auf ihre Eignung geprüft werden;Datenträger, Archivierung;Wenn ausversehen wiederbeschreibbare Rohlinge zur Archivierung genutzt werden, kann es zu einem versehentlichen Überschreiben wichtiger Daten kommen;
94;;G 3.55;Beim Einsatz von Archivsystemen sollten die rechtlichen Rahmenbedingungen eingehalten werden;Archivierung, Recht, Gesetz;Bei Nichtbeachtung der rechtlichen Rahmenbedingungen für Archivsysteme kann es zu verfrühten Löschen von Daten, falschen Zugriffsrechten, fehlenden Zertifikaten und damit zu rechtlichen Konsequenzen führen;
95;;G 3.56;Wenn Server im Firmennetz von Internet aus erreicht werden können, sollten diese geeignet vom restlichen Firmennetz abgeschottet werden;Firmennetz, Webserver, Netzwerktopologie;Wenn Server, die vom Internet aus erreichbar sind, nicht geeignet vom restlichen Firmennetz abgeschottet werden, können diese vom Internet aus kompromitiert werden und so ein unbefugter Zugriff auf das Firmennetz entstehen;
96;;G 3.57;Firm- und Softwares sollten auf sicherheitskritischen System immer auf den neusten Stand gehalten werden, außer es ergeben sich Sicherheitslücken aus der neuen Version;Firmware, Betriebsystem, Aktualisierung;Wenn auf sicherheitskritischen System veraltete Firmwares laufen können sich daraus Sicherheitslücken ergeben;
97;;G 3.75;Automatische Vorgänge wie Batch-Jobs sollten regelmäßig auf ihre korrekte Funktionalität hin überprüft werden;Automatisch, Batch, Prüfung;Wenn automatische Vorgänge wie Batch-Jobs unbemerkt abbrechen oder falsche Ergebnisse liefern können so inkosistenzen in Datenbeständen entstehen;
